0.0.0	https://github.com/yuma140902/UpToDateMod1.7.10/releases/tag/v0.0.0_2018-08-26
0.0.1	https://github.com/yuma140902/UpToDateMod1.7.10/releases/tag/v0.0.1
0.0.2	https://github.com/yuma140902/UpToDateMod1.7.10/releases/tag/v0.0.2
0.1.0	https://github.com/yuma140902/UpToDateMod1.7.10/releases/tag/v0.1.0
0.1.1	https://minecraft.curseforge.com/projects/uptodatemod/files/2636987
0.2.0	https://minecraft.curseforge.com/projects/uptodatemod/files/2636988
0.2.1	https://minecraft.curseforge.com/projects/uptodatemod/files/2636989
0.3.0	https://minecraft.curseforge.com/projects/uptodatemod/files/2637065
0.3.1	https://minecraft.curseforge.com/projects/uptodatemod/files/2637078"
latest	0.3.1
recommended	0.3.0
